ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
47970,0.6301,5.751e+09,4.739,4910,1.415,15950,1.135,8589,1.527,3489,1.429,980.9,0.8176
97820,0.5081,389300,1.547,5198,1.109,11330,1.553,9542,1.291,3676,1.118,1158,0.7421
53220,0.7273,18370,3.96,4109,1.297,13290,1.256,9700,1.268,3263,1.532,1080,0.7839
21330,0.9093,714200,0.6602,4672,2.087,13630,1.365,8598,1.404,3405,1.47,1144,0.7472
31140,0.7672,342100,0.8152,5230,1.123,11830,1.434,7960,1.521,3393,1.275,908.5,0.8339
37480,0.641,35100,3.444,5741,1.087,10690,1.651,10630,1.132,3387,1.261,956.6,0.7949
81190,0.4829,39960,3.85,5043,1.219,9903,1.905,11870,1.111,3301,1.467,1026,0.7721
85100,0.4933,5.747e+09,4.854,4906,1.421,12560,1.503,8143,1.333,3466,1.35,961.4,0.8893
68910,0.55,125300000,8.873,4585,1.361,13520,1.472,9496,1.328,3866,1.137,817.4,0.9004
53320,0.6096,4034000,0.6668,4213,1.502,12130,1.594,9870,1.191,3159,1.281,972.7,0.7877
